0.70584,1.1045e-05,0.00039672,1.1179e-05,0.00039178,1.074e-05,0.00038016,1.0694e-05,0.00038891,0.2665,2.8178e-05,0.0027202
0.0056084,1.2236e-07,4.3965e-06,1.2446e-07,4.3635e-06,1.2104e-07,4.2856e-06,1.1942e-07,4.3441e-06,0.018906,3.3822e-07,3.2672e-05
0.20145,4.3965e-06,0.00015796,4.4719e-06,0.00015678,4.3491e-06,0.00015398,4.2908e-06,0.00015608,0.67974,1.2153e-05,0.001174
0.0056763,1.2446e-07,4.4719e-06,1.2661e-07,4.4387e-06,1.2315e-07,4.3601e-06,1.2148e-07,4.4192e-06,0.019435,3.4435e-07,3.3265e-05
0.19894,4.3635e-06,0.00015678,4.4387e-06,0.00015561,4.3174e-06,0.00015286,4.2591e-06,0.00015493,0.68183,1.2073e-05,0.0011663
0.0054537,1.2104e-07,4.3491e-06,1.2315e-07,4.3174e-06,1.1982e-07,4.2425e-06,1.1817e-07,4.2988e-06,0.019381,3.3567e-07,3.2427e-05
0.19303,4.2856e-06,0.00015398,4.3601e-06,0.00015286,4.2425e-06,0.00015021,4.1841e-06,0.0001522,0.68665,1.1886e-05,0.0011482
0.0054305,1.1942e-07,4.2908e-06,1.2148e-07,4.2591e-06,1.1817e-07,4.1841e-06,1.1657e-07,4.2404e-06,0.018763,3.306e-07,3.1936e-05
0.19748,4.3441e-06,0.00015608,4.4192e-06,0.00015493,4.2988e-06,0.0001522,4.2404e-06,0.00015425,0.68297,1.2027e-05,0.0011618
0.016153,2.257e-06,8.1146e-05,2.3202e-06,8.1395e-05,2.3137e-06,8.1971e-05,2.2399e-06,8.1532e-05,0.97851,7.2665e-06,0.00070274
0.0018026,4.2611e-08,1.5311e-06,4.3384e-08,1.5211e-06,4.2291e-08,1.4974e-06,4.1651e-08,1.5152e-06,0.0076691,1.1955e-07,1.155e-05
0.17401,4.1162e-06,0.0001479,4.191e-06,0.00014694,4.0854e-06,0.00014466,4.0235e-06,0.00014637,0.74168,1.155e-05,0.0011159
