0.019683,0.0036336,0.0042804,0.0043286,0.0041515,0.0041398,0.0013452,0.56612,0.56612
0.86263,0.1128,0.91656,0.00026822,0.00026727,0.00025889,0.00010642,0.0042802,0.0042802
0.10081,0.016183,0.067104,0.0096454,0.0096113,0.0093102,0.0038266,0.15422,0.15422
0.85923,0.11561,0.00026822,0.93938,0.0002747,0.00026607,0.00010942,0.0043284,0.0043284
0.10099,0.016423,0.0094117,0.069121,0.009639,0.0093364,0.0038392,0.15219,0.15219
0.86064,0.11448,0.00026727,0.0002747,0.93018,0.00026517,0.00010916,0.0041513,0.0041513
0.10203,0.016499,0.0094713,0.0097344,0.069251,0.0093967,0.0038681,0.1474,0.1474
0.86434,0.11142,0.00025889,0.00026607,0.00026517,0.90531,0.00010564,0.0041396,0.0041396
0.10155,0.016193,0.0094257,0.009687,0.009654,0.066806,0.003846,0.151,0.151
0.0035891,0.00070038,0.00072318,0.000744,0.00074337,0.00071868,0.00029411,0.0056912,0.0056912
0.70897,0.28154,0.00010644,0.00010944,0.00010918,0.00010566,0.24307,0.0013453,0.0013453
0.066482,0.01609,0.010298,0.010589,0.010564,0.010224,0.0094739,0.13073,0.13073
